# Neighbour List
29437,Kelvin Grove_1_U21F1,U21F1,29438,Kelvin Grove_2_U21F1,U21F1
29437,Kelvin Grove_1_U21F1,U21F1,29439,Kelvin Grove_3_U21F1,U21F1
29437,Kelvin Grove_1_U21F1,U21F1,29427,Palmerston CBD_1_U21F1,U21F1
29437,Kelvin Grove_1_U21F1,U21F1,29398,West End_2_U21F1,U21F1
29437,Kelvin Grove_1_U21F1,U21F1,29377,Terrace End_1_U21F1,U21F1
29437,Kelvin Grove_1_U21F1,U21F1,29431,Kelvin Grove_1_G9,G9
29437,Kelvin Grove_1_U21F1,U21F1,29433,Kelvin Grove_2_G9,G9
29437,Kelvin Grove_1_U21F1,U21F1,29435,Kelvin Grove_3_G9,G9
29437,Kelvin Grove_1_U21F1,U21F1,29441,Milson_1_G9,G9
29437,Kelvin Grove_1_U21F1,U21F1,29443,Milson_2_G9,G9
29437,Kelvin Grove_1_U21F1,U21F1,29421,Palmerston CBD_1_G9,G9
29437,Kelvin Grove_1_U21F1,U21F1,29371,Terrace End_1_G9,G9
29437,Kelvin Grove_1_U21F1,U21F1,29393,West End_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29363,Coronation Park_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29431,Kelvin Grove_1_G9,G9
29433,Kelvin Grove_2_G9,G9,29443,Milson_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29435,Kelvin Grove_3_G9,G9
29433,Kelvin Grove_2_G9,G9,29421,Palmerston CBD_1_G9,G9
29433,Kelvin Grove_2_G9,G9,29423,Palmerston CBD_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29393,West End_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29381,Linton_1_G9,G9
29433,Kelvin Grove_2_G9,G9,29383,Linton_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29371,Terrace End_1_G9,G9
29433,Kelvin Grove_2_G9,G9,29373,Terrace End_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29375,Terrace End_3_G9,G9
29433,Kelvin Grove_2_G9,G9,29343,Takaro_2_G9,G9
29433,Kelvin Grove_2_G9,G9,29345,Takaro_3_G9,G9
29433,Kelvin Grove_2_G9,G9,49363,Coronation Park_2_U9,U9
29433,Kelvin Grove_2_G9,G9,29368,Coronation Park_2_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,49431,Kelvin Grove_1_U9,U9
29433,Kelvin Grove_2_G9,G9,49433,Kelvin Grove_2_U9,U9
29433,Kelvin Grove_2_G9,G9,49435,Kelvin Grove_3_U9,U9
29433,Kelvin Grove_2_G9,G9,29437,Kelvin Grove_1_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,29438,Kelvin Grove_2_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,29439,Kelvin Grove_3_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,49381,Linton_1_U9,U9
29433,Kelvin Grove_2_G9,G9,49383,Linton_2_U9,U9
29433,Kelvin Grove_2_G9,G9,29387,Linton_1_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,29388,Linton_2_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,49443,Milson_2_U9,U9
29433,Kelvin Grove_2_G9,G9,29448,Milson_2_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,49421,Palmerston CBD_1_U9,U9
29433,Kelvin Grove_2_G9,G9,49423,Palmerston CBD_2_U9,U9
29433,Kelvin Grove_2_G9,G9,29427,Palmerston CBD_1_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,29428,Palmerston CBD_2_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,49371,Terrace End_1_U9,U9
29433,Kelvin Grove_2_G9,G9,49373,Terrace End_2_U9,U9
29433,Kelvin Grove_2_G9,G9,49375,Terrace End_3_U9,U9
29433,Kelvin Grove_2_G9,G9,29377,Terrace End_1_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,29378,Terrace End_2_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,29379,Terrace End_3_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,49343,Takaro_2_U9,U9
29433,Kelvin Grove_2_G9,G9,49345,Takaro_3_U9,U9
29433,Kelvin Grove_2_G9,G9,29348,Takaro_2_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,29349,Takaro_3_U21F1,U21F1
29433,Kelvin Grove_2_G9,G9,49393,West End_2_U9,U9
29433,Kelvin Grove_2_G9,G9,29398,West End_2_U21F1,U21F1
49433,Kelvin Grove_2_U9,U9,49363,Coronation Park_2_U9,U9
49433,Kelvin Grove_2_U9,U9,49431,Kelvin Grove_1_U9,U9
49433,Kelvin Grove_2_U9,U9,49443,Milson_2_U9,U9
49433,Kelvin Grove_2_U9,U9,49435,Kelvin Grove_3_U9,U9
49433,Kelvin Grove_2_U9,U9,49421,Palmerston CBD_1_U9,U9
49433,Kelvin Grove_2_U9,U9,49423,Palmerston CBD_2_U9,U9
49433,Kelvin Grove_2_U9,U9,49393,West End_2_U9,U9
49433,Kelvin Grove_2_U9,U9,49381,Linton_1_U9,U9
49433,Kelvin Grove_2_U9,U9,49383,Linton_2_U9,U9
49433,Kelvin Grove_2_U9,U9,49371,Terrace End_1_U9,U9
49433,Kelvin Grove_2_U9,U9,49373,Terrace End_2_U9,U9
49433,Kelvin Grove_2_U9,U9,49375,Terrace End_3_U9,U9
49433,Kelvin Grove_2_U9,U9,49343,Takaro_2_U9,U9
49433,Kelvin Grove_2_U9,U9,49345,Takaro_3_U9,U9
49433,Kelvin Grove_2_U9,U9,29363,Coronation Park_2_G9,G9
49433,Kelvin Grove_2_U9,U9,29431,Kelvin Grove_1_G9,G9
49433,Kelvin Grove_2_U9,U9,29433,Kelvin Grove_2_G9,G9
49433,Kelvin Grove_2_U9,U9,29435,Kelvin Grove_3_G9,G9
49433,Kelvin Grove_2_U9,U9,29381,Linton_1_G9,G9
49433,Kelvin Grove_2_U9,U9,29383,Linton_2_G9,G9
49433,Kelvin Grove_2_U9,U9,29443,Milson_2_G9,G9
49433,Kelvin Grove_2_U9,U9,29421,Palmerston CBD_1_G9,G9
49433,Kelvin Grove_2_U9,U9,29423,Palmerston CBD_2_G9,G9
49433,Kelvin Grove_2_U9,U9,29371,Terrace End_1_G9,G9
49433,Kelvin Grove_2_U9,U9,29373,Terrace End_2_G9,G9
49433,Kelvin Grove_2_U9,U9,29375,Terrace End_3_G9,G9
49433,Kelvin Grove_2_U9,U9,29343,Takaro_2_G9,G9
